epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,6799.84,0.51163,0.40729,1.00113,0.88224,0.82662,0.92366,0.74219,0.8934,0.666,1.27452,0.00472,0.00472,0.00472
162,6841.88,0.50849,0.40555,0.99904,0.88151,0.82709,0.92414,0.74279,0.89317,0.66534,1.27482,0.004687,0.004687,0.004687
163,6884.4,0.51174,0.40552,0.99948,0.88306,0.82662,0.92457,0.74303,0.89346,0.66539,1.27494,0.004654,0.004654,0.004654
164,6927,0.5097,0.40262,0.99692,0.8833,0.82643,0.92428,0.74379,0.89286,0.66656,1.2742,0.004621,0.004621,0.004621
165,6969.11,0.5071,0.40215,0.99959,0.88674,0.82549,0.9242,0.74287,0.89252,0.66775,1.27396,0.004588,0.004588,0.004588
166,7011.85,0.50044,0.39489,0.99207,0.88607,0.82361,0.92421,0.74324,0.89242,0.66792,1.27379,0.004555,0.004555,0.004555
167,7054.33,0.50339,0.3974,0.99972,0.88523,0.82408,0.9242,0.74357,0.89226,0.66821,1.27334,0.004522,0.004522,0.004522
168,7096.68,0.50983,0.40333,1.00014,0.88424,0.82327,0.92407,0.74366,0.89243,0.66955,1.2733,0.004489,0.004489,0.004489
169,7139.16,0.49726,0.39772,0.99346,0.88551,0.82276,0.9241,0.74337,0.89214,0.67053,1.27322,0.004456,0.004456,0.004456
170,7180.41,0.49746,0.39289,0.99278,0.88329,0.82287,0.92426,0.74314,0.89198,0.67135,1.2731,0.004423,0.004423,0.004423
171,7222.37,0.50046,0.39643,0.99585,0.88452,0.82194,0.92411,0.74288,0.89173,0.67291,1.27271,0.00439,0.00439,0.00439
172,7264.85,0.49671,0.39433,0.99218,0.88515,0.82347,0.92435,0.7435,0.89197,0.67336,1.27317,0.004357,0.004357,0.004357
173,7308.03,0.49806,0.39304,0.9949,0.88494,0.82334,0.92437,0.74332,0.89255,0.67357,1.27356,0.004324,0.004324,0.004324
174,7350.13,0.49963,0.39359,0.9954,0.88513,0.82287,0.92491,0.74308,0.89271,0.67407,1.27384,0.004291,0.004291,0.004291
175,7392.85,0.49661,0.39611,0.99388,0.88808,0.82174,0.92484,0.74399,0.89226,0.67419,1.27361,0.004258,0.004258,0.004258
176,7436.15,0.49318,0.39105,0.993,0.88964,0.82347,0.92479,0.74394,0.89129,0.67678,1.27277,0.004225,0.004225,0.004225
177,7477.87,0.50051,0.39461,0.99416,0.89039,0.82099,0.92493,0.74423,0.89087,0.67722,1.27275,0.004192,0.004192,0.004192
178,7520.14,0.48915,0.37981,0.9877,0.88975,0.82064,0.92494,0.74397,0.8909,0.67924,1.27283,0.004159,0.004159,0.004159
179,7562.66,0.48969,0.38583,0.99168,0.89316,0.81584,0.9248,0.744,0.89073,0.68021,1.27268,0.004126,0.004126,0.004126
180,7605.39,0.49442,0.38974,0.99083,0.89309,0.81537,0.92457,0.74323,0.89033,0.6811,1.27244,0.004093,0.004093,0.004093
